date,location,total_cases,new_cases,total_deaths,new_deaths,total_recovered,cases_at_intensive_care_unit,cases_at_nursery,cases_at_home,deaths_recovered_treatment,dif_sum_and_total
2020-05-05,Blumenau,257,18,1,1,89,2,4,161,257,0
2020-05-04,Blumenau,239,0,0,0,83,3,2,151,239,0
2020-05-03,Blumenau,239,14,0,0,83,3,2,151,239,0
2020-05-02,Blumenau,225,2,0,0,81,3,2,139,225,0
2020-05-01,Blumenau,223,8,0,0,76,4,2,141,223,0
2020-04-30,Blumenau,215,20,0,0,73,4,3,135,215,0
2020-04-29,Blumenau,195,1,0,0,68,4,4,119,195,0
2020-04-28,Blumenau,194,26,0,0,66,4,4,120,194,0
2020-04-27,Blumenau,168,1,0,0,64,4,3,97,168,0
2020-04-26,Blumenau,167,37,0,0,64,4,3,96,167,0
2020-04-25,Blumenau,130,25,0,0,62,4,3,61,130,0
2020-04-24,Blumenau,105,5,0,0,60,5,2,38,105,0
2020-04-23,Blumenau,100,2,0,0,60,4,5,31,100,0
2020-04-22,Blumenau,98,0,0,0,58,4,3,33,98,0
2020-04-21,Blumenau,98,3,0,0,58,4,3,33,98,0
2020-04-20,Blumenau,95,4,0,0,56,4,3,32,95,0
2020-04-19,Blumenau,91,3,0,0,56,6,2,27,91,0
2020-04-18,Blumenau,88,1,0,0,56,6,2,24,88,0
2020-04-17,Blumenau,87,5,0,0,52,6,2,27,87,0
2020-04-16,Blumenau,82,3,0,0,42,6,3,31,82,0
2020-04-15,Blumenau,79,3,0,0,15,6,4,54,79,0
2020-04-14,Blumenau,76,5,0,0,15,6,4,51,76,0
2020-04-13,Blumenau,71,6,0,0,0,6,3,62,71,0
2020-04-12,Blumenau,65,5,0,0,0,6,2,57,65,0
2020-04-11,Blumenau,61,0,0,0,0,6,0,55,61,0
2020-04-10,Blumenau,61,2,0,0,0,5,2,54,61,0
2020-04-09,Blumenau,59,4,0,0,0,5,2,52,59,0
2020-04-08,Blumenau,55,2,0,0,0,4,1,50,55,0
2020-04-07,Blumenau,53,1,0,0,0,4,1,48,53,0
2020-04-06,Blumenau,52,3,0,0,0,3,1,48,52,0
2020-04-05,Blumenau,49,1,0,0,0,1,3,45,49,0
2020-04-04,Blumenau,48,4,0,0,0,1,3,44,48,0
2020-04-03,Blumenau,44,4,0,0,0,1,3,40,44,0
2020-04-02,Blumenau,40,3,0,0,0,1,0,39,40,0
2020-04-01,Blumenau,37,4,0,0,0,0,2,35,37,0
2020-03-31,Blumenau,33,13,0,0,0,2,0,31,33,0
2020-03-30,Blumenau,20,0,0,0,0,0,0,20,20,0
2020-03-29,Blumenau,20,5,0,0,0,0,0,20,20,0
2020-03-28,Blumenau,15,0,0,0,0,0,0,15,15,0
2020-03-27,Blumenau,15,0,0,0,0,2,13,0,15,0
2020-03-26,Blumenau,15,2,0,0,0,0,1,14,15,0
2020-03-25,Blumenau,13,4,0,0,0,1,8,4,13,0
2020-03-24,Blumenau,9,0,0,0,0,2,7,0,9,0
2020-03-23,Blumenau,9,7,0,0,0,0,0,9,9,0
2020-03-22,Blumenau,2,0,0,0,0,0,0,2,2,0
2020-03-21,Blumenau,2,0,0,0,0,0,0,2,2,0
2020-03-20,Blumenau,2,2,0,0,0,0,0,2,2,0
2020-03-19,Blumenau,0,0,0,0,0,0,0,0,0,0
